epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.772,1.38774,2.40662,1.34954,0.82048,0.65912,0.74089,0.41451,1.49964,2.06463,1.37356,0.00332564,0.00332564,0.00332564
2,122.185,1.41151,1.58764,1.36437,0.81104,0.61977,0.74391,0.41121,1.54715,1.37009,1.41709,0.00662601,0.00662601,0.00662601
3,180.884,1.51796,1.4492,1.45779,0.66597,0.56292,0.6281,0.32939,1.65137,1.67875,1.54036,0.00989338,0.00989338,0.00989338
4,239.261,1.58433,1.43437,1.5199,0.74298,0.66896,0.73696,0.38743,1.6653,1.29638,1.58557,0.0098515,0.0098515,0.0098515
5,297.714,1.5425,1.31128,1.50096,0.76732,0.70143,0.74785,0.41358,1.59795,1.21681,1.55243,0.009802,0.009802,0.009802
6,356.322,1.51948,1.24104,1.4923,0.86226,0.7698,0.83616,0.47665,1.48942,1.04346,1.46082,0.0097525,0.0097525,0.0097525
7,415.169,1.47856,1.17138,1.46223,0.80276,0.68765,0.78163,0.45123,1.48755,1.10653,1.46835,0.009703,0.009703,0.009703
8,473.756,1.45043,1.11677,1.44683,0.81485,0.66798,0.77197,0.45093,1.50868,1.17764,1.44766,0.0096535,0.0096535,0.0096535
9,532.592,1.40972,1.06344,1.41219,0.81869,0.82179,0.8675,0.51578,1.38913,0.92212,1.38017,0.009604,0.009604,0.009604
10,591.377,1.40817,1.0564,1.41833,0.87944,0.84899,0.90247,0.53795,1.37567,0.85045,1.39089,0.0095545,0.0095545,0.0095545
11,649.978,1.38312,1.01451,1.39,0.88194,0.85735,0.9101,0.55245,1.3878,0.79371,1.38861,0.009505,0.009505,0.009505
12,708.612,1.34217,0.96496,1.37133,0.89975,0.84948,0.91211,0.56249,1.32751,0.80687,1.33649,0.0094555,0.0094555,0.0094555
13,767.244,1.33985,0.95667,1.37222,0.87141,0.88539,0.91392,0.57076,1.31645,0.74942,1.33166,0.009406,0.009406,0.009406
14,825.84,1.33613,0.9433,1.36771,0.89456,0.84719,0.90056,0.55617,1.36409,0.82118,1.3543,0.0093565,0.0093565,0.0093565
15,884.387,1.31613,0.92141,1.34377,0.90189,0.88293,0.92089,0.57764,1.33043,0.73615,1.34546,0.009307,0.009307,0.009307
16,943.74,1.31192,0.90343,1.34052,0.89585,0.88425,0.92308,0.58874,1.29808,0.71558,1.32245,0.0092575,0.0092575,0.0092575
17,1003.21,1.29938,0.87727,1.33248,0.90341,0.88392,0.92977,0.58879,1.30635,0.72049,1.31375,0.009208,0.009208,0.009208
18,1062.57,1.28986,0.87831,1.33381,0.91572,0.91389,0.93378,0.59087,1.30912,0.68507,1.31416,0.0091585,0.0091585,0.0091585
19,1122.03,1.28523,0.86362,1.32294,0.92784,0.92031,0.94195,0.61078,1.26777,0.65873,1.29231,0.009109,0.009109,0.009109
20,1181.4,1.28502,0.85452,1.32087,0.91288,0.88982,0.93139,0.597,1.28936,0.70838,1.30787,0.0090595,0.0090595,0.0090595
21,1240.64,1.27079,0.84556,1.31926,0.92065,0.89024,0.93704,0.59834,1.27983,0.69658,1.29156,0.00901,0.00901,0.00901
22,1299.8,1.2661,0.84526,1.3043,0.92483,0.90949,0.94283,0.61411,1.24991,0.66482,1.28194,0.0089605,0.0089605,0.0089605
23,1359.03,1.25945,0.83152,1.31058,0.93353,0.90064,0.94385,0.61714,1.24503,0.64563,1.28342,0.008911,0.008911,0.008911
24,1418.34,1.2609,0.82471,1.30745,0.89156,0.91736,0.93876,0.60905,1.24658,0.65804,1.2758,0.0088615,0.0088615,0.0088615
25,1477.59,1.24132,0.82132,1.29792,0.9205,0.90507,0.94166,0.62322,1.23694,0.655,1.26055,0.008812,0.008812,0.008812
26,1536.83,1.24229,0.80181,1.29082,0.9329,0.92325,0.94675,0.63803,1.21028,0.6165,1.25422,0.0087625,0.0087625,0.0087625
27,1596.14,1.22912,0.78496,1.29228,0.93535,0.90999,0.94415,0.6219,1.23774,0.63012,1.26166,0.008713,0.008713,0.008713
28,1655.38,1.22811,0.79837,1.27915,0.91524,0.91881,0.94736,0.62724,1.22064,0.63925,1.25266,0.0086635,0.0086635,0.0086635
29,1714.78,1.23303,0.78413,1.28504,0.92866,0.92842,0.95056,0.63014,1.20831,0.636,1.24316,0.008614,0.008614,0.008614
30,1773.91,1.20568,0.77836,1.2687,0.92815,0.92137,0.94933,0.62756,1.22356,0.61392,1.2601,0.0085645,0.0085645,0.0085645
31,1833.17,1.2103,0.76301,1.27593,0.94076,0.93114,0.95563,0.6435,1.20169,0.59732,1.23437,0.008515,0.008515,0.008515
32,1890.28,1.20159,0.75353,1.26342,0.93653,0.92905,0.95543,0.64315,1.19885,0.58169,1.23673,0.0084655,0.0084655,0.0084655
33,1947.08,1.20404,0.74844,1.25945,0.92447,0.92715,0.95141,0.63903,1.20023,0.59226,1.24146,0.008416,0.008416,0.008416
34,2003.51,1.20406,0.75737,1.2677,0.93556,0.92474,0.95752,0.6483,1.18991,0.58467,1.22769,0.0083665,0.0083665,0.0083665
35,2060.04,1.19002,0.74882,1.26526,0.94128,0.93409,0.95337,0.63992,1.1931,0.58244,1.23488,0.008317,0.008317,0.008317
36,2116.54,1.18936,0.73951,1.2584,0.94092,0.93226,0.95818,0.65047,1.17934,0.57884,1.22345,0.0082675,0.0082675,0.0082675
